Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|632348.3.peg.552	fig|632348.3.peg.552	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1422|CallaDRAFT_1360	fig|1121259.3.peg.369,fig|1214564.3.peg.810,fig|1387555.3.peg.135,fig|1387557.3.peg.585,fig|31899.10.peg.781|SAMN05216182_0623,fig|351627.8.peg.291|Csac_0250,fig|608506.3.peg.379|COB47_0335,fig|632292.3.peg.2388|Calhy_2280,fig|632335.8.peg.367|Calkr_0321,fig|632348.3.peg.2378|Calkro_2260,fig|632516.3.peg.1422|CallaDRAFT_1360,fig|632518.3.peg.261|Calow_0238	Sulfur carrier protein ThiS	1.0	Counter({'Sulfur carrier protein ThiS': 12})	12	12.0
fig|632292.3.peg.715	fig|632292.3.peg.715	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.193	fig|1214564.3.peg.193	Regulatory protein ArsR	1.0	Counter({'Regulatory protein ArsR': 1})	1	1.0
fig|1214564.3.peg.194	fig|1214564.3.peg.194	Uncharacterized membrane spanning protein, contains VanZ-like domain	1.0	Counter({'Uncharacterized membrane spanning protein, contains VanZ-like domain': 1})	1	1.0
fig|1214564.3.peg.199	fig|1214564.3.peg.199	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1796	fig|1387555.3.peg.1796	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1797	fig|1121259.3.peg.1743,fig|1387555.3.peg.1797,fig|31899.10.peg.2166|SAMN05216182_1946,fig|632335.8.peg.1805|Calkr_1671,fig|632516.3.peg.1682|CallaDRAFT_1617	hypothetical protein	1.0	Counter({'hypothetical protein': 5})	5	5.0
fig|1387555.3.peg.1794	fig|1121259.3.peg.1745,fig|1214564.3.peg.1631,fig|1387555.3.peg.1794,fig|1387557.3.peg.1905,fig|31899.10.peg.2163|SAMN05216182_1943,fig|351627.8.peg.1866|Csac_1698,fig|608506.3.peg.1014|COB47_0930,fig|632292.3.peg.1180|Calhy_1100,fig|632335.8.peg.1801|Calkr_1667,fig|632348.3.peg.1134|Calkro_1071,fig|632516.3.peg.1685|CallaDRAFT_1620,fig|632518.3.peg.1486|Calow_1399	Flagellar protein FlaG	1.0	Counter({'Flagellar protein FlaG': 12})	12	12.0
fig|1387555.3.peg.1795	fig|1387555.3.peg.1795	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1798	fig|1387555.3.peg.1798	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1799	fig|1387555.3.peg.1799	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2467	fig|1387557.3.peg.2467	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387557.3.peg.2466	fig|1387557.3.peg.2466	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.880	fig|632348.3.peg.880	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.338	fig|632348.3.peg.338	Transposase, mutator type	1.0	Counter({'Transposase, mutator type': 1})	1	1.0
fig|351627.8.peg.543|Csac_0471	fig|351627.8.peg.543|Csac_0471	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|31899.10.peg.184	fig|31899.10.peg.184	Mucin 2 precursor	1.0	Counter({'Mucin 2 precursor': 1})	1	1.0
fig|31899.10.peg.185	fig|31899.10.peg.185	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.1752|Calkr_1621	fig|1214564.3.peg.849,fig|31899.10.peg.2115|SAMN05216182_1896,fig|632292.3.peg.1225|Calhy_1143,fig|632335.8.peg.1752|Calkr_1621,fig|632348.3.peg.1184|Calkro_1118,fig|632516.3.peg.1570|CallaDRAFT_1510	hypothetical protein	1.0	Counter({'hypothetical protein': 6})	6	6.0
fig|31899.10.peg.180	fig|31899.10.peg.180,fig|351627.8.peg.577	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|31899.10.peg.182	fig|31899.10.peg.182	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.189	fig|31899.10.peg.189	Peptidase M48, Ste24p	1.0	Counter({'Peptidase M48, Ste24p': 1})	1	1.0
fig|31899.10.peg.1431|SAMN05216182_1231	fig|31899.10.peg.1431|SAMN05216182_1231	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1844	fig|1387557.3.peg.1844	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1845	fig|1387557.3.peg.1845	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1846	fig|1387557.3.peg.1846	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1847	fig|1387557.3.peg.1847	DNA-binding protein	1.0	Counter({'DNA-binding protein': 1})	1	1.0
fig|1387557.3.peg.1843	fig|1387557.3.peg.1843	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 1})	1	1.0
fig|1387555.3.peg.1420	fig|1121259.3.peg.238,fig|1214564.3.peg.215,fig|1387555.3.peg.1420,fig|1387557.3.peg.1658,fig|31899.10.peg.1903|SAMN05216182_1688,fig|351627.8.peg.2136|Csac_1956,fig|608506.3.peg.1241|COB47_1144,fig|632292.3.peg.1409|Calhy_1326,fig|632335.8.peg.1518|Calkr_1395,fig|632348.3.peg.1376|Calkro_1300,fig|632516.3.peg.124|CallaDRAFT_0124,fig|632518.3.peg.1273|Calow_1188	Glycyl-tRNA synthetase (EC 6.1.1.14)	1.0	Counter({'Glycyl-tRNA synthetase (EC 6.1.1.14)': 12})	12	12.0
fig|1387555.3.peg.1421	fig|1121259.3.peg.237,fig|1214564.3.peg.214,fig|1387555.3.peg.1421,fig|1387557.3.peg.1657,fig|31899.10.peg.1902|SAMN05216182_1687,fig|351627.8.peg.2135|Csac_1955,fig|608506.3.peg.1242|COB47_1145,fig|632292.3.peg.1410|Calhy_1327,fig|632335.8.peg.1517|Calkr_1394,fig|632348.3.peg.1377|Calkro_1301,fig|632516.3.peg.125|CallaDRAFT_0125,fig|632518.3.peg.1272|Calow_1187	Pyruvate,phosphate dikinase (EC 2.7.9.1)	1.0	Counter({'Pyruvate,phosphate dikinase (EC 2.7.9.1)': 12})	12	12.0
fig|632335.8.peg.734	fig|632335.8.peg.734	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1424	fig|1121259.3.peg.233,fig|1214564.3.peg.211,fig|1387555.3.peg.1424,fig|1387557.3.peg.1654,fig|31899.10.peg.1899|SAMN05216182_1684,fig|351627.8.peg.2132|Csac_1952,fig|608506.3.peg.1245|COB47_1148,fig|632292.3.peg.1413|Calhy_1330,fig|632335.8.peg.1513|Calkr_1391,fig|632348.3.peg.1381|Calkro_1304,fig|632516.3.peg.129|CallaDRAFT_0128,fig|632518.3.peg.1269|Calow_1184	Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)	1.0	Counter({'Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)': 12})	12	12.0
fig|632292.3.peg.2709|Calhy_2578	fig|1387557.3.peg.403,fig|632292.3.peg.2709|Calhy_2578,fig|632335.8.peg.2824|Calkr_2562	DUF324 domain containing Cmr2-like protein	0.666666666667	Counter({'DUF324 domain containing Cmr2-like protein': 2, 'hypothetical protein': 1})	3	3.0
fig|1387555.3.peg.1426	fig|1121259.3.peg.231,fig|1214564.3.peg.209,fig|1387555.3.peg.1426,fig|1387555.3.peg.1516,fig|1387557.3.peg.1652,fig|31899.10.peg.1897|SAMN05216182_1682,fig|351627.8.peg.2130|Csac_1950,fig|608506.3.peg.1247|COB47_1150,fig|632292.3.peg.1415|Calhy_1332,fig|632335.8.peg.1511|Calkr_1389,fig|632348.3.peg.1383|Calkro_1306,fig|632516.3.peg.131|CallaDRAFT_0130,fig|632518.3.peg.1267|Calow_1182	Enolase (EC 4.2.1.11)	1.0	Counter({'Enolase (EC 4.2.1.11)': 13})	13	12.0
fig|1387555.3.peg.1428	fig|1121259.3.peg.229,fig|1214564.3.peg.207,fig|1387555.3.peg.1428,fig|1387557.3.peg.1650,fig|31899.10.peg.1895|SAMN05216182_1680,fig|351627.8.peg.2128|Csac_1948,fig|608506.3.peg.1261|COB47_1161,fig|632292.3.peg.1421|Calhy_1336,fig|632335.8.peg.1509|Calkr_1387,fig|632348.3.peg.1385|Calkro_1308,fig|632516.3.peg.133|CallaDRAFT_0132	hypothetical protein	1.0	Counter({'hypothetical protein': 11})	11	11.0
fig|632516.3.peg.1154|CallaDRAFT_1095	fig|1121259.3.peg.732,fig|1214564.3.peg.1885,fig|1387555.3.peg.1040,fig|1387557.3.peg.2178,fig|31899.10.peg.2412|SAMN05216182_2196,fig|351627.8.peg.1181|Csac_1048,fig|608506.3.peg.1826|COB47_1704,fig|632292.3.peg.958|Calhy_0888,fig|632335.8.peg.909|Calkr_0804,fig|632348.3.peg.870|Calkro_0819,fig|632516.3.peg.1154|CallaDRAFT_1095,fig|632518.3.peg.1711|Calow_1612	Vitamin B12 ABC transporter, substrate-binding protein BtuF	1.0	Counter({'Vitamin B12 ABC transporter, substrate-binding protein BtuF': 12})	12	12.0
fig|632516.3.peg.1244|CallaDRAFT_1189	fig|1121259.3.peg.525,fig|1387557.3.peg.455,fig|31899.10.peg.578|SAMN05216182_0436,fig|351627.8.peg.2602|Csac_2412,fig|608506.3.peg.199|COB47_0178,fig|632292.3.peg.2558|Calhy_2439,fig|632335.8.peg.202|Calkr_0161,fig|632348.3.peg.2515|Calkro_2389,fig|632516.3.peg.1244|CallaDRAFT_1189,fig|632518.3.peg.134|Calow_0120	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 10})	10	10.0
fig|1387557.3.peg.2799	fig|1387557.3.peg.2799	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.3122|SAMN05216182_2848	fig|1387555.3.peg.2133,fig|1387557.3.peg.2366,fig|31899.10.peg.3122|SAMN05216182_2848,fig|351627.8.peg.1547|Csac_1394,fig|632292.3.peg.350|Calhy_0317,fig|632335.8.peg.2344|Calkr_2166,fig|632348.3.peg.690|Calkro_0648	hypothetical protein	1.0	Counter({'hypothetical protein': 7})	7	7.0
fig|632335.8.peg.695|Calkr_0621	fig|1121259.3.peg.1813,fig|1387557.3.peg.1135,fig|351627.8.peg.2897|Csac_2681,fig|632292.3.peg.1912|Calhy_1823,fig|632335.8.peg.695|Calkr_0621	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	1.0	Counter({'Nicotinate phosphoribosyltransferase (EC 6.3.4.21)': 5})	5	5.0
fig|632335.8.peg.1492|Calkr_1370	fig|1121259.3.peg.211,fig|1387555.3.peg.1546,fig|1387557.3.peg.1612,fig|31899.10.peg.1866|SAMN05216182_1654,fig|351627.8.peg.2112|Csac_1932,fig|608506.3.peg.1277|COB47_1177,fig|632292.3.peg.1438|Calhy_1353,fig|632335.8.peg.1492|Calkr_1370,fig|632348.3.peg.1408|Calkro_1329,fig|632516.3.peg.149|CallaDRAFT_0148,fig|632518.3.peg.1249|Calow_1164	Dihydroorotase (EC 3.5.2.3)	1.0	Counter({'Dihydroorotase (EC 3.5.2.3)': 11})	11	11.0
fig|632348.3.peg.2313	fig|632348.3.peg.2313	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.821|COB47_0747	fig|608506.3.peg.821|COB47_0747	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.2317	fig|632348.3.peg.2317	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 1})	1	1.0
fig|1214564.3.peg.732	fig|1121259.3.peg.2176,fig|1214564.3.peg.732,fig|1387555.3.peg.2526,fig|1387557.3.peg.661,fig|31899.10.peg.873|SAMN05216182_0715,fig|351627.8.peg.533|Csac_0461,fig|608506.3.peg.453|COB47_0405,fig|632292.3.peg.2321|Calhy_2215,fig|632335.8.peg.2393|Calkr_2211,fig|632348.3.peg.2298|Calkro_2183,fig|632516.3.peg.1323|CallaDRAFT_1264,fig|632518.3.peg.319|Calow_0288	Hemerythrin domain protein	1.0	Counter({'Hemerythrin domain protein': 12})	12	12.0
fig|351627.8.peg.1323|Csac_1179	fig|351627.8.peg.1323|Csac_1179	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|632292.3.peg.133|Calhy_0124	fig|1121259.3.peg.2128,fig|1214564.3.peg.1484,fig|1387555.3.peg.48,fig|1387557.3.peg.2827,fig|31899.10.peg.2976|SAMN05216182_2718,fig|351627.8.peg.401|Csac_0346,fig|608506.3.peg.2324|COB47_2159,fig|632292.3.peg.133|Calhy_0124,fig|632335.8.peg.629|Calkr_0562,fig|632348.3.peg.145|Calkro_0138,fig|632516.3.peg.1897|CallaDRAFT_1829,fig|632516.3.peg.2745|CallaDRAFT_2663,fig|632518.3.peg.2281|Calow_2128	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 13})	13	12.0
fig|31899.10.peg.2510	fig|31899.10.peg.2510	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1419	fig|31899.10.peg.1419	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2516	fig|31899.10.peg.2516	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2517	fig|31899.10.peg.2517	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2514	fig|31899.10.peg.2514	Transcriptional regulator, Xre family	1.0	Counter({'Transcriptional regulator, Xre family': 1})	1	1.0
fig|31899.10.peg.2518	fig|31899.10.peg.2518	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.1458|Calkro_1377	fig|1121259.3.peg.163,fig|1214564.3.peg.2378,fig|1387555.3.peg.1590,fig|1387557.3.peg.1565,fig|31899.10.peg.1812|SAMN05216182_1602,fig|351627.8.peg.2066|Csac_1888,fig|608506.3.peg.1338|COB47_1233,fig|632292.3.peg.1489|Calhy_1402,fig|632335.8.peg.1434|Calkr_1311,fig|632348.3.peg.1458|Calkro_1377,fig|632516.3.peg.185|CallaDRAFT_0186,fig|632518.3.peg.1197|Calow_1115	Chorismate mutase II (EC 5.4.99.5)	1.0	Counter({'Chorismate mutase II (EC 5.4.99.5)': 12})	12	12.0
fig|632348.3.peg.604	fig|632348.3.peg.604	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|632518.3.peg.901|Calow_0833	fig|632518.3.peg.901|Calow_0833	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.1099|COB47_1005	fig|1121259.3.peg.2015,fig|1214564.3.peg.1688,fig|1387555.3.peg.1731,fig|1387557.3.peg.1802,fig|31899.10.peg.2044|SAMN05216182_1836,fig|351627.8.peg.1927|Csac_1754,fig|608506.3.peg.1099|COB47_1005,fig|632292.3.peg.1272|Calhy_1188,fig|632335.8.peg.1709|Calkr_1579,fig|632348.3.peg.1239|Calkro_1165,fig|632516.3.peg.1094|CallaDRAFT_1035,fig|632518.3.peg.1412|Calow_1327	Ribosomal protein L11 methyltransferase	1.0	Counter({'Ribosomal protein L11 methyltransferase': 12})	12	12.0
fig|632292.3.peg.442|Calhy_0405	fig|632292.3.peg.442|Calhy_0405	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2826|CallaDRAFT_2759	fig|632516.3.peg.2826|CallaDRAFT_2759	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632348.3.peg.1993	fig|632348.3.peg.1993	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2269	fig|632516.3.peg.2269	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.444|Calhy_0407	fig|632292.3.peg.444|Calhy_0407	restriction endonuclease (HaeIII)	1.0	Counter({'restriction endonuclease (HaeIII)': 1})	1	1.0
fig|608506.3.peg.2209|COB47_2068	fig|608506.3.peg.2209|COB47_2068,fig|632292.3.peg.2745	Transposase for IS652	0.5	Counter({'Transposase for IS652': 1, 'Mobile element protein': 1})	2	2.0
fig|632516.3.peg.157|CallaDRAFT_0156	fig|632516.3.peg.157|CallaDRAFT_0156	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.245|Calkro_0231	fig|1121259.3.peg.1348,fig|1214564.3.peg.878,fig|1387555.3.peg.2407,fig|1387557.3.peg.2754,fig|31899.10.peg.2898|SAMN05216182_2644,fig|351627.8.peg.702|Csac_0606,fig|608506.3.peg.2247|COB47_2095,fig|632292.3.peg.227|Calhy_0203,fig|632335.8.peg.2545|Calkr_2351,fig|632348.3.peg.245|Calkro_0231,fig|632516.3.peg.966|CallaDRAFT_0913,fig|632518.3.peg.2196|Calow_2052	Glutamine--fructose-6-phosphate aminotransferase	1.0	Counter({'Glutamine--fructose-6-phosphate aminotransferase': 12})	12	12.0
fig|1387555.3.peg.1883	fig|1121259.3.peg.1126,fig|1214564.3.peg.294,fig|1387555.3.peg.1883,fig|1387557.3.peg.1356,fig|31899.10.peg.1604|SAMN05216182_1402,fig|351627.8.peg.1734|Csac_1573,fig|608506.3.peg.1517|COB47_1410,fig|632292.3.peg.1703|Calhy_1611,fig|632335.8.peg.1225|Calkr_1104,fig|632348.3.peg.1661|Calkro_1574,fig|632516.3.peg.1431|CallaDRAFT_1371,fig|632518.3.peg.1014|Calow_0938	RNA-binding protein YhbY	1.0	Counter({'RNA-binding protein YhbY': 12})	12	12.0
fig|1387555.3.peg.1880	fig|1121259.3.peg.1129,fig|1214564.3.peg.290,fig|1387555.3.peg.1880,fig|1387557.3.peg.1359,fig|31899.10.peg.1608|SAMN05216182_1405,fig|351627.8.peg.1738|Csac_1576,fig|608506.3.peg.1514|COB47_1407,fig|632292.3.peg.1699|Calhy_1608,fig|632335.8.peg.1228|Calkr_1107,fig|632348.3.peg.1658|Calkro_1571,fig|632516.3.peg.1517|CallaDRAFT_1458,fig|632518.3.peg.1018|Calow_0941	beta-lactamase domain protein	0.75	Counter({'beta-lactamase domain protein': 9, 'Metal-dependent hydrolase': 3})	12	12.0
fig|1387555.3.peg.1881	fig|1121259.3.peg.1128,fig|1214564.3.peg.291,fig|1387555.3.peg.1881,fig|1387557.3.peg.1358,fig|31899.10.peg.1607|SAMN05216182_1404,fig|351627.8.peg.1737|Csac_1575,fig|608506.3.peg.1515|COB47_1408,fig|632292.3.peg.1700|Calhy_1609,fig|632335.8.peg.1227|Calkr_1106,fig|632348.3.peg.1659|Calkro_1572,fig|632516.3.peg.1518|CallaDRAFT_1459,fig|632518.3.peg.1017|Calow_0940	Homoserine O-acetyltransferase (EC 2.3.1.31)	1.0	Counter({'Homoserine O-acetyltransferase (EC 2.3.1.31)': 12})	12	12.0
fig|1387555.3.peg.1886	fig|1121259.3.peg.1123,fig|1387555.3.peg.1886,fig|1387557.3.peg.1353,fig|31899.10.peg.1601|SAMN05216182_1399,fig|351627.8.peg.1729|Csac_1570,fig|608506.3.peg.1520|COB47_1413,fig|632292.3.peg.1706|Calhy_1614,fig|632335.8.peg.1222|Calkr_1101,fig|632348.3.peg.1671|Calkro_1582,fig|632516.3.peg.1434|CallaDRAFT_1374,fig|632518.3.peg.1011|Calow_0935	LSU ribosomal protein L27p	1.0	Counter({'LSU ribosomal protein L27p': 11})	11	11.0
fig|1387555.3.peg.1887	fig|1121259.3.peg.1122,fig|1387555.3.peg.1887,fig|1387557.3.peg.1352,fig|31899.10.peg.1600|SAMN05216182_1398,fig|351627.8.peg.1728|Csac_1569,fig|608506.3.peg.1521|COB47_1414,fig|632292.3.peg.1707|Calhy_1615,fig|632335.8.peg.1221|Calkr_1100,fig|632348.3.peg.1672|Calkro_1583,fig|632516.3.peg.1435|CallaDRAFT_1375,fig|632518.3.peg.1010|Calow_0934	FIG139598: Potential ribosomal protein	1.0	Counter({'FIG139598: Potential ribosomal protein': 11})	11	11.0
fig|632292.3.peg.457|Calhy_0420	fig|632292.3.peg.457|Calhy_0420	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.828|Calhy_0768	fig|632292.3.peg.828|Calhy_0768	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.554|Calhy_0508	fig|632292.3.peg.554|Calhy_0508	Oxidoreductase, short-chain dehydrogenase/reductase family	1.0	Counter({'Oxidoreductase, short-chain dehydrogenase/reductase family': 1})	1	1.0
fig|1387555.3.peg.145	fig|1214564.3.peg.2175,fig|1387555.3.peg.145,fig|1387557.3.peg.2708,fig|31899.10.peg.2843|SAMN05216182_2596,fig|632292.3.peg.526|Calhy_0481	hypothetical protein	0.8	Counter({'hypothetical protein': 4, 'mRNA interferase RelE': 1})	5	5.0
fig|1387555.3.peg.147	fig|1387555.3.peg.147	Cation transporter	1.0	Counter({'Cation transporter': 1})	1	1.0
fig|1387555.3.peg.146	fig|1214564.3.peg.2176,fig|1387555.3.peg.146,fig|1387557.3.peg.2709,fig|31899.10.peg.2844|SAMN05216182_2597,fig|351627.8.peg.269|Csac_0230,fig|632292.3.peg.525|Calhy_0480,fig|632348.3.peg.384	hypothetical protein	1.0	Counter({'hypothetical protein': 7})	7	7.0
fig|1387555.3.peg.141	fig|1121259.3.peg.1199,fig|1214564.3.peg.2161,fig|1387555.3.peg.141,fig|1387557.3.peg.2721,fig|31899.10.peg.2859|SAMN05216182_2609,fig|351627.8.peg.284|Csac_0244,fig|608506.3.peg.2196|COB47_2055,fig|632292.3.peg.510|Calhy_0466,fig|632335.8.peg.2494|Calkr_2303,fig|632348.3.peg.373|Calkro_0344,fig|632516.3.peg.2073|CallaDRAFT_2002,fig|632518.3.peg.2121|Calow_1987	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase (EC 2.1.1.219)	1.0	Counter({'tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase (EC 2.1.1.219)': 12})	12	12.0
fig|1387555.3.peg.140	fig|1121259.3.peg.1200,fig|1214564.3.peg.2160,fig|1387555.3.peg.140,fig|1387557.3.peg.2720,fig|31899.10.peg.2858|SAMN05216182_2608,fig|351627.8.peg.285|Csac_0245,fig|608506.3.peg.2195|COB47_2054,fig|632292.3.peg.511|Calhy_0467,fig|632335.8.peg.2493|Calkr_2302,fig|632348.3.peg.374|Calkro_0345,fig|632516.3.peg.2074|CallaDRAFT_2003,fig|632518.3.peg.2120|Calow_1986	CBS domain protein	0.583333333333	Counter({'CBS domain protein': 7, 'putative signal-transduction protein with CBS domains': 5})	12	12.0
fig|632518.3.peg.904|Calow_0836	fig|632518.3.peg.904|Calow_0836	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.2660	fig|351627.8.peg.2660	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1319|CallaDRAFT_1260	fig|632516.3.peg.1319|CallaDRAFT_1260	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.177|Calkro_0169	fig|632348.3.peg.177|Calkro_0169	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})	1	1.0
fig|632516.3.peg.341|CallaDRAFT_0338	fig|1121259.3.peg.1812,fig|1214564.3.peg.1451,fig|1387557.3.peg.1147,fig|31899.10.peg.1333|SAMN05216182_1145,fig|351627.8.peg.2888|Csac_2672,fig|608506.3.peg.877|COB47_0803,fig|632292.3.peg.1907|Calhy_1819,fig|632335.8.peg.715|Calkr_0638,fig|632348.3.peg.1880|Calkro_1783,fig|632516.3.peg.341|CallaDRAFT_0338	Putative predicted metal-dependent hydrolase	1.0	Counter({'Putative predicted metal-dependent hydrolase': 10})	10	10.0
fig|632516.3.peg.1691|CallaDRAFT_1626	fig|1121259.3.peg.1752,fig|1214564.3.peg.1636,fig|1387557.3.peg.1899,fig|31899.10.peg.2157|SAMN05216182_1937,fig|351627.8.peg.1872|Csac_1704,fig|608506.3.peg.1019|COB47_0935,fig|632292.3.peg.1185|Calhy_1105,fig|632335.8.peg.1794|Calkr_1660,fig|632348.3.peg.1140|Calkro_1077,fig|632516.3.peg.1691|CallaDRAFT_1626,fig|632518.3.peg.1480|Calow_1393	FIG00468852: hypothetical protein	0.909090909091	Counter({'FIG00468852: hypothetical protein': 10, 'Uncharacterized MFS-type transporter': 1})	11	11.0
fig|632518.3.peg.1298|Calow_1212	fig|632518.3.peg.1298|Calow_1212	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.519	fig|1121259.3.peg.519	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 1})	1	1.0
fig|1121259.3.peg.516	fig|1121259.3.peg.516	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.2461	fig|632292.3.peg.2461	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
