Rep_gene	most_common_function	function_proportion	count_result
fig|1387555.3.peg.1661	LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent	1.0	Counter({'LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent': 12})
fig|31899.10.peg.517	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.516	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.515	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.52	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.535	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1678	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.538	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.837|CallaDRAFT_0802	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1169	LSU ribosomal protein L18p (L5e)	1.0	Counter({'LSU ribosomal protein L18p (L5e)': 12})
fig|632335.8.peg.1974|Calkr_1827	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.2247|CallaDRAFT_2164	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1164	LSU ribosomal protein L24p (L26e)	1.0	Counter({'LSU ribosomal protein L24p (L26e)': 12})
fig|1387555.3.peg.1167	SSU ribosomal protein S8p (S15Ae)	1.0	Counter({'SSU ribosomal protein S8p (S15Ae)': 12})
fig|1387555.3.peg.1166	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent	1.0	Counter({'SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent': 12})
fig|1387555.3.peg.1161	LSU ribosomal protein L29p (L35e)	1.0	Counter({'LSU ribosomal protein L29p (L35e)': 12})
fig|1387555.3.peg.1160	LSU ribosomal protein L16p (L10e)	1.0	Counter({'LSU ribosomal protein L16p (L10e)': 12})
fig|1387555.3.peg.1163	LSU ribosomal protein L14p (L23e)	1.0	Counter({'LSU ribosomal protein L14p (L23e)': 12})
fig|1387555.3.peg.1162	SSU ribosomal protein S17p (S11e)	1.0	Counter({'SSU ribosomal protein S17p (S11e)': 12})
fig|1121259.3.peg.2517	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.2515	Transposase, IS4 family	1.0	Counter({'Transposase, IS4 family': 1})
fig|1121259.3.peg.2512	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.2513	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.2511	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.447|Calkr_0390	Zinc ABC transporter, ATP-binding protein ZnuC	1.0	Counter({'Zinc ABC transporter, ATP-binding protein ZnuC': 11})
fig|1214564.3.peg.397	ABC transporter, permease protein 1 (cluster 11, riboflavin/purine nucleoside/unknown)	1.0	Counter({'ABC transporter, permease protein 1 (cluster 11, riboflavin/purine nucleoside/unknown)': 10})
fig|632335.8.peg.2484|Calkr_2294	Cation transporter	1.0	Counter({'Cation transporter': 1})
fig|632516.3.peg.463	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.460	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.302	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.469	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2290	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.345|CallaDRAFT_0344	Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)	1.0	Counter({'Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)': 12})
fig|1387555.3.peg.1301	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)	1.0	Counter({'16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)': 12})
fig|1387555.3.peg.1300	Putative membrane protease YugP	1.0	Counter({'Putative membrane protease YugP': 12})
fig|1387555.3.peg.1303	Protein serine/threonine phosphatase PrpC, regulation of stationary phase	1.0	Counter({'Protein serine/threonine phosphatase PrpC, regulation of stationary phase': 12})
fig|1387555.3.peg.1305	Ribosome small subunit biogenesis RbfA-release protein RsgA	1.0	Counter({'Ribosome small subunit biogenesis RbfA-release protein RsgA': 12})
fig|1387555.3.peg.1304	Serine/threonine protein kinase PrkC, regulator of stationary phase	1.0	Counter({'Serine/threonine protein kinase PrkC, regulator of stationary phase': 12})
fig|1387555.3.peg.1307	Bacterial ribosome SSU maturation protein RimP	1.0	Counter({'Bacterial ribosome SSU maturation protein RimP': 12})
fig|1387555.3.peg.1306	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	1.0	Counter({'Ribulose-phosphate 3-epimerase (EC 5.1.3.1)': 12})
fig|632335.8.peg.867	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.2497|Calhy_2381	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2429	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1593	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2739|Csac_2540	Acetyltransferase, GNAT family	1.0	Counter({'Acetyltransferase, GNAT family': 7})
fig|1387557.3.peg.2321	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.493|CallaDRAFT_0472	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	0.923076923077	Counter({'Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)': 12, 'hypothetical protein': 1})
fig|1387557.3.peg.2323	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2325	hypothetical protein	1.0	Counter({'hypothetical protein': 15})
fig|1387557.3.peg.2326	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|1387555.3.peg.1267	Stage III sporulation protein AH	1.0	Counter({'Stage III sporulation protein AH': 1})
fig|1387555.3.peg.1265	2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB	1.0	Counter({"2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB": 12})
fig|632516.3.peg.929|CallaDRAFT_0882	Uncharacterized substrate:H+ symporter, LctP family	1.0	Counter({'Uncharacterized substrate:H+ symporter, LctP family': 1})
fig|632292.3.peg.107	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.72|SAMN05216182_0006	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.1137|COB47_1041	Domain of unknown function / Efflux ABC transporter, permease protein	1.0	Counter({'Domain of unknown function / Efflux ABC transporter, permease protein': 8})
fig|1214564.3.peg.504	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.502	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.459	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.979	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1233	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2817|Csac_2607	Transposase	1.0	Counter({'Transposase': 1})
fig|632516.3.peg.2716|CallaDRAFT_2626	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1403	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1359	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.691|COB47_0626	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632292.3.peg.394|Calhy_0360	Transcriptional regulator, Xre family	1.0	Counter({'Transcriptional regulator, Xre family': 1})
fig|1121259.3.peg.1351	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2821|Csac_2611	transposase, IS605 family, OrfB	1.0	Counter({'transposase, IS605 family, OrfB': 1})
fig|31899.10.peg.682|SAMN05216182_0534	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1957	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1357	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.2144	IncF plasmid conjugative transfer pilus assembly protein TraC	1.0	Counter({'IncF plasmid conjugative transfer pilus assembly protein TraC': 1})
fig|1214564.3.peg.1875	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.712|CallaDRAFT_0689	DNA topoisomerase I (EC 5.99.1.2)	1.0	Counter({'DNA topoisomerase I (EC 5.99.1.2)': 1})
fig|632292.3.peg.842|Calhy_0782	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2141	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|1387557.3.peg.106	Inner membrane protein YbhL	1.0	Counter({'Inner membrane protein YbhL': 1})
fig|1387555.3.peg.2148	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1387555.3.peg.2149	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632348.3.peg.449|Calkro_0421	Uncharacterized di-Fe4-S4 cluster-containing protein AF_1153	1.0	Counter({'Uncharacterized di-Fe4-S4 cluster-containing protein AF_1153': 12})
fig|632516.3.peg.72|CallaDRAFT_0070	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|1387555.3.peg.688	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.848|CallaDRAFT_0810	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632292.3.peg.105|Calhy_0098	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 2})
fig|1214564.3.peg.2178	Cation transporter	1.0	Counter({'Cation transporter': 4})
fig|1387555.3.peg.449	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.2148|Calow_2008	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 6})
fig|1387555.3.peg.338	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.440	Programmed cell death antitoxin YdcD	1.0	Counter({'Programmed cell death antitoxin YdcD': 1})
fig|1387555.3.peg.337	CRISPR-associated protein MJ1673	1.0	Counter({'CRISPR-associated protein MJ1673': 13})
fig|1387555.3.peg.334	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.443	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.332	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|1387555.3.peg.333	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.446	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.340|CallaDRAFT_0337	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 4})
fig|632516.3.peg.2324|CallaDRAFT_2235	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632516.3.peg.664|CallaDRAFT_0641	Neogenin	0.5	Counter({'Neogenin': 1, 'hypothetical protein': 1})
fig|632335.8.peg.269|Calkr_0223	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.680	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|31899.10.peg.232|SAMN05216182_0143	Transposase, IS200 family	1.0	Counter({'Transposase, IS200 family': 1})
fig|31899.10.peg.438|SAMN05216182_0311	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2535	tRNA-dihydrouridine synthase DusB	1.0	Counter({'tRNA-dihydrouridine synthase DusB': 12})
fig|632516.3.peg.1294|CallaDRAFT_1237	FIG00614553: hypothetical protein	1.0	Counter({'FIG00614553: hypothetical protein': 1})
fig|1387555.3.peg.2531	Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY	1.0	Counter({'Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY': 6})
fig|1387555.3.peg.2530	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.108	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1850	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1856	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1858	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1214564.3.peg.1859	protein of unknown function DUF955	1.0	Counter({'protein of unknown function DUF955': 1})
fig|351627.8.peg.2669|Csac_2475	Urea ABC transporter, substrate-binding protein UrtA	1.0	Counter({'Urea ABC transporter, substrate-binding protein UrtA': 1})
fig|31899.10.peg.2305	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.1293|Calkr_1172	SirA family protein DSY2947	1.0	Counter({'SirA family protein DSY2947': 8})
fig|632292.3.peg.2498|Calhy_2382	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 1})
fig|632292.3.peg.1444|Calhy_1358	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2508	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2818	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.3020|SAMN05216182_2757	hypothetical protein	0.846153846154	Counter({'hypothetical protein': 11, 'Transcriptional regulator, Xre family': 2})
fig|632348.3.peg.1131	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.490|CallaDRAFT_0469	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.2498|CallaDRAFT_2404	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})
fig|31899.10.peg.57	DNA primase, phage associated	1.0	Counter({'DNA primase, phage associated': 1})
fig|31899.10.peg.56	DNA primase, phage associated	1.0	Counter({'DNA primase, phage associated': 1})
fig|632516.3.peg.2408|CallaDRAFT_2312	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.54	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.53	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.52	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})
fig|31899.10.peg.51	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})
fig|1387555.3.peg.1948	Two-component response regulator yesN	0.833333333333	Counter({'Two-component response regulator yesN': 10, 'DNA-binding response regulator, AraC family': 2})
fig|1387555.3.peg.1946	Galactokinase (EC 2.7.1.6)	1.0	Counter({'Galactokinase (EC 2.7.1.6)': 12})
fig|1387555.3.peg.1945	UDP-glucose 4-epimerase (EC 5.1.3.2)	1.0	Counter({'UDP-glucose 4-epimerase (EC 5.1.3.2)': 12})
fig|1387555.3.peg.1941	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|31899.10.peg.58	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.3012	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.549|Calhy_0502	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.0	Counter({'D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)': 1})
fig|632516.3.peg.1815|CallaDRAFT_1747	Uncharacterized protein YviE clustered with flagellar hook-associated proteins	0.916666666667	Counter({'Uncharacterized protein YviE clustered with flagellar hook-associated proteins': 11, 'hypothetical protein': 1})
fig|632292.3.peg.764|Calhy_0702	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.798|Calkro_0753	Permease of the drug/metabolite transporter (DMT) superfamily	1.0	Counter({'Permease of the drug/metabolite transporter (DMT) superfamily': 12})
fig|632292.3.peg.720|Calhy_0665	Predicted L-rhamnose ABC transporter, substrate-binding component	1.0	Counter({'Predicted L-rhamnose ABC transporter, substrate-binding component': 1})
fig|632516.3.peg.1663|CallaDRAFT_1596	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|608506.3.peg.58|COB47_0056	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.1032|CallaDRAFT_0975	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1734|Calkro_1644	COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	1.0	Counter({'COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination': 12})
fig|632348.3.peg.1216	Polygalacturonase (EC 3.2.1.15)	1.0	Counter({'Polygalacturonase (EC 3.2.1.15)': 1})
fig|632348.3.peg.1217	Polygalacturonase (EC 3.2.1.15)	1.0	Counter({'Polygalacturonase (EC 3.2.1.15)': 1})
fig|632348.3.peg.1215	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1213	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.32	Blr3520 protein homolog, hypothetical protein	1.0	Counter({'Blr3520 protein homolog, hypothetical protein': 1})
fig|351627.8.peg.2281|Csac_2101	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.355|Calhy_0322	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.877	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.876	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.607|CallaDRAFT_0584	Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	1.0	Counter({'Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)': 12})
fig|1121259.3.peg.896	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.746	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
fig|31899.10.peg.743	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2280|Csac_2100	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1519	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1518	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	0.75	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 3, 'hypothetical protein': 1})
fig|1121259.3.peg.1517	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|1121259.3.peg.1516	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.2	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|608506.3.peg.3	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|351627.8.peg.458|Csac_0391	ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 1})
fig|632292.3.peg.718|Calhy_0663	ABC transporter, permease protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, permease protein (cluster 2, ribose/xylose/arabinose/galactose)': 1})
